Order,Question,A,B,C,D,answer
1,The flippers of a whale  and the fins of a fish are examples of,divergent evolution  ,co evolution,continuous variation,convergent evolution,A
2,Which of the following is a polysaccharide?,Glucose  ,sucrose,Maltose   ,Cellulose,D
3,In which of the following Nigerian states can montane vegetation be found?,Plateau,Taraba  ,Enugu  ,Bauchi,A
4,The increasing order of the particle size in the following soil types  is,clay_silt_sand_gravel  ,Silt_clay-sand_gravel  ,clay_sand_slit_gravel,silt_sand_clay gravel,A
5,The causative agent of bird flu is a,virus  ,bacterium  ,fungus  ,protozoan   ,A
6,The causative agent of bird flu is a,virus  ,bacterium  ,fungus  ,protozoan   ,A
7,The larval stage of a mosquito is called,wriggler  ,Grub  ,maggot  ,Caterpillar,A
8,The dominant phase in the life cycle of a fern is the,gametophyte  , prothallus,sporophyte  , antheridium,C
9,A density dependent factor that regulates the population size of organism is,disease,sudden flood  ,drought,fire outbreak,A
10,The population density of Tridax in an abandoned square farmland of side 200m was found to be 5 plants per m2. The population size of the plant on the farm is,40,4000,40000,200000,D
11,Mammals are  capable  of producing hypertonic urine mainly because of re-absorption in the  ,urethra  ,loop of henle  ,ureater  ,Bowman’s capsule,B
12,When a colour blind man marries a carrier woman. What is the probability of their offspring being colorblind?,25%,50%,75%,100%,C
13,A yellow maize is planted and all the fruits obtained are of yellow seeds. When they are cross bred  yellow seeds and white seeds are obtained in a ratio 3:1. The yellow seed is said to be  ,non heritable,sex linked,a recessive trait  ,a dominant trait,D
14,The optimum temperature  for the growth of the organism is,25oC,50oC,75oC   ,100oC,B
15,The role of the Golgi com plex in a eukaryotic cell is to  ,transport genetic material out of the cell,transport organic materials in and out of the cell,provide attachment for ribosomal granules,conduct ions and out of the cell,B
16,The chromosome number of a cell before and after the process of meiosis is conventionally represented as,2n_2n   ,n_n  ,n-2n  ,2n-n,D
17,When a mixture of a food substance fand Benedict’s solution was warmed  the solution changed from blue to brick red . This indicates the presence of,reducing  sugar,fatty acid,sucrose  ,amino acid,A
18,Organisms I  II  III and IV have surface volume ratios  of 1:2  1:3  1:4  1:5  respectively. The organism that is likely to have the most complex transport system is,IV,III  ,I  ,II,A
19,Exhaled air differs from inhaled air in that it  ,contains less amount of carbon (IV) oxide  ,is usually lower in temperature,often has more oxygen  ,usually has more water vapour,D
20,The cell component that is present in a prokaryotic cell is the,chloroplast   ,ribosome,mitochondrion   ,nuclear envelope,B
21,Which of the following is a polysaccharide?,Glucose  ,sucrose,Maltose   ,Cellulose,D
22,The type of protective adaptation exhibited by the animals is  ,flash colouration   ,disruptive  colouration,warming colouration,countershading  colouration,D
23,Which of the following  is involved1 in secondary  thickening in plants?,collenchyma  and  xylem cells  ,Vascular cambium and collenchyma’s cells  ,vascular cambium and cork cambium,Cork cambium and sclerenchyma,C
24,Mammals are  capable  of producing hypertonic urine mainly because of re-absorption in the  ,urethra  ,loop of henle  ,ureater  ,Bowman’s capsule,B
25,A plant like feature I Euglena is the,Pellicle  ,pigment sport,large vacuole   ,gullet,B
26,The stage in the life history  of a moth responsible for the destruction of agricultural crops is the,nymph,imago,pupa   ,caterpillar,D
27,An example of a sex-linked  trait is the,ability to roll the tongue,possession of facial hair in adult humans  ,ability to grow long hair in females  ,colour of the skin in human,C
28,Which of the following groups of cells is devoid of true nuclei?,viruses,algae  ,Monera,Fungi,C
29,Insectivorous plants traps and kill their prey to derive  ,phosphorous  ,calcium  ,nitrogen,Zinc,C
