Order,Question,A,B,C,D,answer
1,In boxing  ___ is used to cover and protect the hands of a boxer,socks ,helmet,gloves,bandages,C
2,Computer game is played for one of the following reasons,relaxation,Fighting,Obeying,Regulating,A
3,All of these are used for gymnastics EXCEPT___,vaulting horse          ,parallel bars   ,horizontal ladder   ,football,F
4,All of these are the benefits of athletics except,Develop skills    ,Aids competition ,Promote fighting,Creates avenue for socializing    ,C
5,Examples of non-contact are all EXCEPT___,table tennis           ,swimming ,gymnastic ,soccer,F
6,All of these are example of methods of sewage disposal EXCEPT____,pit latrine        ,open dump      ,water closet system   ,none of the above,D
7,The Nigeria lawn tennis Association was formed in which year?,1950,1960,1955,1965,D
8,In the game of shot put  the playground or court should be ____,Free of potholes     ,Full of grasses    ,Full of trees     ,Presence of rocks and stones,F
9,A stage of transmission from child to adulthood regarding individual changes is referred to as___,growth,body development,puberty,reproduction,C
10,In the game of shot put  the playground or court should be ____,Free of potholes     ,Full of grasses    ,Full of trees     ,Presence of rocks and stones,F
11,Dance is regarded as the rhythmic movement of the___,leg,hand,body,head,D
12,The following are the sources of water supply except ___________,Rain,Stream,Pipe-borne water,Tap,F
13,The game of tennis is commenced with a ____,Toss,Whistle,Shouting,None of the above,A
14,For a person to look good  and fit  the person must perform,Regular exercises,Study hard  ,Jump the fence   ,Make noise in class  ,F
15,One of the benefits of recreation and dance are as follows except,Improves quality of life  ,Learn more through social interaction   ,Creates room for enjoyment   ,Fighting everyone,D
16,Athletics is a game made up of ____ and ____ event,Biro and paper,Racket and gloves   ,Ball and socks   ,Tracks and field,D
17,Which of these equipment is used to strike the ball in table tennis,Bat,Racket,Boot,Googles,A
18,Who is a Judoka,a person who plays volleyball,a person who teaches volleyball   ,a person who swims   ,a person who practice judo,D
19,Which of these is not an example of indoor recreational activities,room decoration   ,sleeping,playing ludo  ,playing ludo,B
20,All of these are examples of indoor recreational activities except,Watching television,Playing football     ,Dancing    ,Playing game      ,F
21,An advantage of personal cleanliness is,Mouth odor     ,smelly clothes    ,good health    , friends avoiding you,F
22,All of these are the benefits of athletics except,Develop skills    ,Aids competition ,Promote fighting,Creates avenue for socializing    ,C
23,The shortest line shown on the tennis court is called____,double sideline     ,single line   ,centre mark   ,service line,F
24,Athletics is a game made up of ____ and ____ event,Biro and paper,Racket and gloves   ,Ball and socks   ,Tracks and field,D
25,Dislocation usually occurs in which part of the body?,Joints,Muscles,Brain,Abdomen,A
26,Accidents are classified into,domestic and international ,domestic and occupational ,road and safety,safety,F
27,For a person to look good  and fit  the person must perform,Regular exercises,Study hard  ,Jump the fence   ,Make noise in class  ,F
28,The following are the effects of pollution except,eye irritation,cardio vascular disease,good health ,death,F
